Resume,Role
"Python Java SQL Machine Learning Data Analysis","Data Scientist"
"HTML CSS JavaScript React Node","Web Developer"
"Java Spring Boot MySQL Hibernate","Java Developer"
"Networking Cybersecurity Ethical Hacking","Cyber Security Analyst"
"Python Deep Learning NLP TensorFlow","AI Engineer"
"C C++ Embedded Systems Microcontroller","Embedded Engineer"
"Android Kotlin Firebase XML","Android Developer"
"Accounting Finance Tally Excel","Accountant"
"Communication Leadership Management","HR Manager"
"AWS Docker Kubernetes DevOps Linux","DevOps Engineer"
